model	lik	mode	convergence
60G	-8560.73906344528	0.388541208007196	0
60T	-8482.70603351622	1.67769102086505	0
61A	-8485.8892427097	1.64996714964298	0
61C	-8560.71930188647	0.362439640252732	0
61G	-8560.7217044664	0.414770010710176	0
61T	-8560.6761266605	0.341098913319048	0
62A	-8561.0820285268	1.30118340861144	0
62C	-8560.9880570988	0.903151694380335	0
62G	-8470.26078307228	1.79393834641734	0
62T	-8565.07281929629	0.976760160260173	0
63A	-8554.75358189969	2.07970649532529	0
63C	-8558.50043296205	2.2304048259963	0
63G	-8495.2030723407	1.62291051644148	0
63T	-8561.10475463194	0.579151518927822	0
64A	-8560.56279761699	0.308705889388294	0
64C	-8491.94906529975	1.66430008416539	0
64G	-8552.39239984151	1.86363766939051	0
64T	-8561.93511851227	0.852855724966195	0
65A	-8560.61638299414	0.320013375753825	0
65C	-8483.3322942924	1.6689700915138	0
65G	-8561.01107477806	0.530511163212091	0
65T	-8561.40357822158	0.700375974814673	0
66A	-8560.68784284875	0.424964485690625	0
66C	-8561.97833074694	0.843019130686992	0
66G	-8560.73549778552	0.390864693779206	0
66T	-8480.44557293055	1.69619819816033	0
67A	-8560.7912436619	0.744712708155133	0
67C	-8475.13226207532	1.77894492003022	0
67G	-8564.90695310183	0.933594837606568	0
67T	-8556.27408464243	1.85920494474531	0
68A	-8561.55362697695	0.818052478329559	0
68C	-8564.79027737587	0.911383753559836	0
68G	-8465.09072089641	1.81620234159009	0
68T	-8560.68698092023	0.422464242244155	0
69A	-8547.11878096361	1.96387062693387	0
69C	-8561.15581009639	0.720319533646926	0
69G	-8500.43406129806	1.62098122901362	0
69T	-8561.58955596592	1.07871067129472	0
70A	-8547.94912198037	1.90683372620675	0
70C	-8560.2164283944	1.68054478865453	0
70G	-8561.14389331862	0.622287033206246	0
70T	-8501.46841486022	1.6131862243365	0
71A	-8488.61454195751	1.63963496917217	0
71C	-8559.98385903921	1.76090431762392	0
71G	-8560.85660888883	0.718427110112474	0
71T	-8560.68938352565	0.429759860719725	0
72A	-8560.88024005013	1.39747193621322	0
72C	-8560.74256690524	0.376190996554391	0
72G	-8487.56233288833	1.64554332267216	0
72T	-8560.68904072656	0.429992390333025	0
73A	-8560.94573625655	0.908934193963283	0
73C	-8562.80117348514	1.02772328903432	0
73G	-8480.59873409647	1.81737700947462	0
73T	-8554.53820688159	1.67895180011753	0
74A	-8561.06685106188	1.03166033649289	0
74C	-8560.68768371065	0.425750333900849	0
74G	-8562.19095607175	1.01542687740611	0
74T	-8483.9173264111	1.67939789578785	0
75A	-8558.17131122937	1.81261632897432	0
75C	-8489.26770893206	1.65072168374059	0
75G	-8561.65840020097	0.87449778291711	0
75T	-8560.68713358615	0.422278723276914	0
76A	-8490.61267943175	1.64273227246481	0
76C	-8560.43549696996	1.4355364399934	0
76G	-8559.39249933637	1.95798777209057	0
76T	-8560.68880404674	0.428136508365932	0
77A	-8545.64454122126	1.93219046904768	0
77C	-8560.68957548417	0.428671075565043	0
77G	-8560.71809605898	0.415870955974224	0
77T	-8502.53510264651	1.60748271378426	0
78A	-8560.73190045347	0.373192400185174	0
78C	-8544.58900390101	2.21493947216853	0
78G	-8501.24358394399	1.60110298389294	0
78T	-8560.73936406782	0.386469434236495	0
79A	-8559.19739935036	1.89893487092127	0
79C	-8561.62025868861	0.76313435879938	0
79G	-8485.32936198295	1.66825092399439	0
79T	-8560.68919101817	0.429435926271486	0
80A	-8560.68911001199	0.429815780210796	0
80C	-8561.42909126985	0.707113812688108	0
80G	-8560.72881151292	0.369951471180363	0
80T	-8483.72686595812	1.66660133039838	0
81A	-8562.24303535648	0.401222727657626	0
81C	-8478.46177874892	1.68621514646322	0
81G	-8560.84021470172	0.71002053976428	0
81T	-8561.47583119924	0.721759420600451	0
82A	-8498.08126616456	1.63821867021038	0
82C	-8560.52720381442	1.37986800160362	0
82G	-8561.9167851998	0.871612375492704	0
82T	-8547.75591786354	1.97119262272905	0
83A	-8560.67598324629	0.342910519976495	0
83C	-8485.72537212677	1.65227478912228	0
83G	-8560.97850451514	0.617894677603334	0
83T	-8560.71470421199	0.359425184956894	0
84A	-8484.28405626996	1.65932694094846	0
84C	-8560.85060039783	0.672757832618018	0
84G	-8560.09566951976	0.315024501244894	0
84T	-8560.54594652381	1.354509529725	0
85A	-8481.62981007375	1.67614450873112	0
85C	-8564.41636912578	0.979333734926542	0
85G	-8561.18878490991	0.929236346463161	0
85T	-8560.6900562926	0.428620642517053	0
86A	-8468.05029498975	1.82378512998516	0
86C	-8561.88246718505	1.1369580503142	0
86G	-8565.05467729988	0.979158490077414	0
86T	-8561.19033042598	1.05055017132131	0
87A	-8560.97669100964	0.605957118095117	0
87C	-8543.89252032633	2.0009979988369	0
87G	-8503.92743904735	1.60004842429083	0
87T	-8560.94483345149	0.932843333456141	0
88A	-8564.45644046592	0.965394757766786	0
88C	-8472.21209386857	1.80615234215551	0
88G	-8557.09019772913	1.76312099538196	0
88T	-8561.3953099751	0.667034217735099	0
89A	-8550.98303861631	1.88579896420821	0
89C	-8561.79950224208	0.811045380919815	0
89G	-8495.80871750684	1.65060783551149	0
89T	-8559.8115046009	1.77107774081597	0
90A	-8482.01817959635	1.67919378802384	0
90C	-8561.16438064666	0.686734102293933	0
90G	-8560.74282519057	0.40853505016892	0
90T	-8561.41043483055	0.70474632859692	0
91A	-8560.70047779983	0.423445756327388	0
91C	-8482.48037861802	1.68117709454506	0
91G	-8560.95534994666	0.855694793738014	0
91T	-8561.8637969492	0.825099393031902	0
92A	-8561.38315282848	0.809439592763781	0
92C	-8561.21371532118	0.863755144656971	0
92G	-8560.67902743876	1.44320401303279	0
92T	-8487.00117983242	1.6509889456312	0
93A	-8554.29047306623	2.30831634056082	0
93C	-8473.39517674209	1.79047187299574	0
93G	-8560.6864568316	0.42300474112788	0
93T	-8564.96248919229	0.936512388124166	0
94A	-8560.7155540775	0.363160910189724	0
94C	-8560.71145663594	0.417529989446898	0
94G	-8559.27686641767	1.69764972708171	0
94T	-8488.85903478652	1.64658035078082	0
95A	-8560.68891031609	0.430093136521184	0
95C	-8560.68891031609	0.430093136296806	0
95G	-8561.42512574409	0.959057200564666	0
95T	-8486.63451569064	1.64839242557969	0
96A	-8561.32503291957	1.11496431658892	0
96C	-8560.94503120278	0.613805315009032	0
96G	-8486.94324527457	1.64788886882547	0
96T	-8560.68917444766	0.429822246194116	0
97A	-8487.70581264789	1.6451339647412	0
97C	-8560.68993531354	0.428915677853532	0
97G	-8561.11812272923	0.732638901916427	0
97T	-8560.61036777233	1.50107759144673	0
98A	-8552.36654930899	1.89985211154165	0
98C	-8560.68946128395	0.427931571237117	0
98G	-8495.9579619462	1.62676963914616	0
98T	-8560.96895421445	0.52258619248494	0
99A	-8561.68543508961	0.916993342565874	0
99C	-8484.82906313873	1.6610917889734	0
99G	-8560.81659350995	0.429265307921771	0
99T	-8560.68942653107	0.429517512194419	0
100A	-8559.75715247719	1.69364003703662	0
100C	-8560.95242055422	0.631435592445588	0
100G	-8488.36103920897	1.6455970828551	0
100T	-8560.91813968665	0.477118707070938	0
neutral	-8560.93637846287	0	0
true	-8457.94391834879	1.36384123670309	0
1A30A	-8458.56919383118	0.935828937128288	0
